Label,OuterWidth,OuterHeight,InnerWidth,InnerHeight,WidthRatio,HeightRatio
O+,0.372615658,0.291690391,0.24,0.192580071,1.552565243,1.514644738
AB+,0.34405694,0.279644128,0.195729537,0.18569395,1.757818182,1.505940974
A+,0.318256228,0.282740214,0.193558719,0.183807829,1.644236073,1.538238141
O+,0.317562278,0.273309609,0.206637011,0.18386121,1.536812193,1.486499565
O+,0.396245552,0.29980427,0.243096085,0.212241993,1.629995608,1.412558685
A+,0.294234875,0.288078292,0.179946619,0.186209964,1.635123109,1.547061634
B+,0.319412811,0.264697509,0.195516014,0.176975089,1.6336913,1.495676654
B+,0.2913879,0.252900356,0.184039146,0.170338078,1.583293048,1.484696542
A+,0.382313167,0.320551601,0.235427046,0.204163701,1.623913536,1.570071466
O+,0.400106762,0.354359431,0.212348754,0.217295374,1.884196414,1.63077301
B+,0.40866548,0.298985765,0.253024911,0.215551601,1.61511955,1.387072808
O+,0.297402135,0.203238434,0.188540925,0.134412811,1.577387693,1.512046598
A+,0.320480427,0.292081851,0.206209964,0.190231317,1.554146173,1.535403611
AB+,0.297793594,0.256049822,0.198594306,0.175266904,1.499507213,1.460913706
B+,0.365658363,0.299341637,0.234377224,0.215925267,1.560127543,1.38632056
O+,0.28975089,0.267651246,0.184839858,0.174893238,1.567577975,1.530369315
AB+,0.34094306,0.300978648,0.213807829,0.204982206,1.594623835,1.468315972
A+,0.352064057,0.298309609,0.207953737,0.200836299,1.692992214,1.485337113
B+,0.353398577,0.31519573,0.223469751,0.218291815,1.581415718,1.443919139
B+,0.274217082,0.249822064,0.169519573,0.150925267,1.6176131,1.655269983
O+,0.285729537,0.273380783,0.188309609,0.184590747,1.517339129,1.481010218
B+,0.270569395,0.211370107,0.162153025,0.133007117,1.668605289,1.58916388
O+,0.381761566,0.303540925,0.248434164,0.220818505,1.536670964,1.374617244
O+,0.294572954,0.257224199,0.189911032,0.168274021,1.551110278,1.528603151
B+,0.28866548,0.245711744,0.178505338,0.156316726,1.617125199,1.571883893
O+,0.294946619,0.270782918,0.197064057,0.185871886,1.496704289,1.456825579
B+,0.434786477,0.348202847,0.280498221,0.245320285,1.550050749,1.419380576
A+,0.368096085,0.302010676,0.226797153,0.201174377,1.623018986,1.501238281
B+,0.329377224,0.324537367,0.207295374,0.220355872,1.588927039,1.472787468
B+,0.323754448,0.280569395,0.205569395,0.191779359,1.574915606,1.462980145
O+,0.314501779,0.264128114,0.200658363,0.170569395,1.567349472,1.548508241
